name,townName,longitude,latitude,season,borrowed_quantity,classification_type
上楓分館,大雅區,120.676,24.242,春,14,幼兒照顧
中區分館,中區,120.7,24.147,春,13,養生
北區分館,北區,120.704,24.162,春,30,養生
北屯分館,北屯區,120.717,24.177,春,32,幼兒照顧
南區分館,南區,120.688,24.126,春,27,旅遊
南屯分館,南屯區,120.656,24.154,春,43,理財
后里分館,后里區,120.742,24.311,春,19,理財
和平區圖書館,和平區,120.83,24.181,春,9,養生
國立公共資訊圖書館,南區,120.671,24.127,春,15,幼兒照顧
國立公共資訊圖書館黎明分館,南屯區,120.632,24.153,春,26,理財
外埔分館,外埔區,120.672,24.336,春,17,養生
大墩分館,西區,120.679,24.143,春,33,幼兒照顧
大安分館,大安區,120.603,24.351,春,15,旅遊
大甲分館,大甲區,120.636,24.356,春,42,養生
大肚分館,大肚區,120.553,24.157,春,9,養生
大肚瑞井分館,大肚區,120.587,24.162,春,22,旅遊
大里分館,大里區,120.711,24.092,春,46,理財
大里大新分館,大里區,120.704,24.103,春,22,理財
大里德芳分館,大里區,120.703,24.11,春,24,幼兒照顧
大雅分館,大雅區,120.666,24.224,春,37,旅遊
太平分館,太平區,120.736,24.124,春,61,旅遊
太平坪林分館,太平區,120.747,24.148,春,25,旅遊
捷運松竹借還書站,北屯區,120.731,24.186,春,17,幼兒照顧
新社分館,新社區,120.81,24.245,春,12,幼兒照顧
李科永紀念圖書館,南屯區,120.638,24.154,春,18,幼兒照顧
東勢分館,東勢區,120.82,24.263,春,15,理財
東區分館,東區,120.704,24.135,春,30,理財
梧棲分館,梧棲區,120.55,24.258,春,8,幼兒照顧
梧棲親子館,梧棲區,120.55,24.256,春,20,幼兒照顧
沙鹿文昌分館,沙鹿區,120.59,24.239,春,14,幼兒照顧
沙鹿深波分館,沙鹿區,120.578,24.238,春,33,幼兒照顧
清水分館,清水區,120.574,24.27,春,9,理財
清水紫雲巖圖書館,清水區,120.604,24.275,春,31,幼兒照顧
溪西分館,西屯區,120.639,24.177,春,40,理財
潭子分館,潭子區,120.714,24.218,春,47,養生
烏日分館,烏日區,120.651,24.114,春,27,理財
石岡分館,石岡區,120.783,24.275,春,8,養生
神岡分館,神岡區,120.682,24.268,春,34,理財
精武圖書館,北區,120.709,24.15,春,24,旅遊
總館,北屯區,120.704,24.2,春,27,幼兒照顧
興安分館,北屯區,120.71,24.174,春,65,旅遊
葫蘆墩分館,豐原區,120.762,24.256,春,29,幼兒照顧
西區分館,西區,120.671,24.154,春,25,旅遊
西屯分館,西屯區,120.668,24.178,春,66,理財
豐原分館,豐原區,120.743,24.247,春,11,養生
豐原南嵩分館,豐原區,120.76,24.259,春,46,理財
霧峰以文分館,霧峰區,120.724,24.066,春,26,理財
龍井分館(工程中),龍井區,120.562,24.197,春,5,養生
龍井山頂分館,龍井區,120.59,24.186,春,8,養生
龍井龍津分館,龍井區,120.537,24.204,春,24,旅遊
