name,townName,longitude,latitude,season,borrowed_quantity,classification_type
上楓分館,大雅區,120.676,24.242,冬,12,幼兒照顧
中區分館,中區,120.7,24.147,冬,14,旅遊
北區分館,北區,120.704,24.162,冬,39,理財
北屯分館,北屯區,120.717,24.177,冬,45,幼兒照顧
南區分館,南區,120.688,24.126,冬,33,理財
南屯分館,南屯區,120.656,24.154,冬,22,幼兒照顧
后里分館,后里區,120.742,24.311,冬,30,理財
和平區圖書館,和平區,120.83,24.181,冬,6,幼兒照顧
國立公共資訊圖書館,南區,120.671,24.127,冬,17,養生
國立公共資訊圖書館黎明分館,南屯區,120.632,24.153,冬,16,幼兒照顧
外埔分館,外埔區,120.672,24.336,冬,15,旅遊
大墩分館,西區,120.679,24.143,冬,36,養生
大安分館,大安區,120.603,24.351,冬,10,養生
大甲分館,大甲區,120.636,24.356,冬,29,旅遊
大肚分館,大肚區,120.553,24.157,冬,9,旅遊
大肚瑞井分館,大肚區,120.587,24.162,冬,21,理財
大里分館,大里區,120.711,24.092,冬,45,理財
大里大新分館,大里區,120.704,24.103,冬,25,旅遊
大里德芳分館,大里區,120.703,24.11,冬,17,旅遊
大雅分館,大雅區,120.666,24.224,冬,24,幼兒照顧
太平分館,太平區,120.736,24.124,冬,52,旅遊
太平坪林分館,太平區,120.747,24.148,冬,22,理財
捷運松竹借還書站,北屯區,120.731,24.186,冬,18,理財
新社分館,新社區,120.81,24.245,冬,7,幼兒照顧
李科永紀念圖書館,南屯區,120.638,24.154,冬,16,理財
東勢分館,東勢區,120.82,24.263,冬,14,養生
東區分館,東區,120.704,24.135,冬,35,理財
梧棲分館,梧棲區,120.55,24.258,冬,11,理財
梧棲親子館,梧棲區,120.55,24.256,冬,26,旅遊
沙鹿文昌分館,沙鹿區,120.59,24.239,冬,10,旅遊
沙鹿深波分館,沙鹿區,120.578,24.238,冬,35,旅遊
清水分館,清水區,120.574,24.27,冬,22,旅遊
清水紫雲巖圖書館,清水區,120.604,24.275,冬,31,理財
溪西分館,西屯區,120.639,24.177,冬,24,理財
潭子分館,潭子區,120.714,24.218,冬,41,理財
烏日分館,烏日區,120.651,24.114,冬,32,幼兒照顧
石岡分館,石岡區,120.783,24.275,冬,8,幼兒照顧
神岡分館,神岡區,120.682,24.268,冬,24,幼兒照顧
精武圖書館,北區,120.709,24.15,冬,11,養生
總館,北屯區,120.704,24.2,冬,10,旅遊
興安分館,北屯區,120.71,24.174,冬,61,幼兒照顧
葫蘆墩分館,豐原區,120.762,24.256,冬,14,養生
西區分館,西區,120.671,24.154,冬,18,理財
西屯分館,西屯區,120.668,24.178,冬,51,旅遊
豐原分館,豐原區,120.743,24.247,冬,24,幼兒照顧
豐原南嵩分館,豐原區,120.76,24.259,冬,39,旅遊
霧峰以文分館,霧峰區,120.724,24.066,冬,30,養生
龍井分館(工程中),龍井區,120.562,24.197,冬,5,旅遊
龍井山頂分館,龍井區,120.59,24.186,冬,4,養生
龍井龍津分館,龍井區,120.537,24.204,冬,6,幼兒照顧
