name,townName,longitude,latitude,borrowCount
大安分館,大安區,120.603,24.351,200
大肚分館,大肚區,120.553,24.157,200
大里大新分館,大里區,120.704,24.103,200
沙鹿文昌分館,沙鹿區,120.59,24.239,80
和平區圖書館,和平區,120.83,24.181,80
神岡分館,神岡區,120.682,24.268,80
上楓分館,大雅區,120.676,24.242,80
中區分館,中區,120.7,24.147,400
后里分館,后里區,120.742,24.311,80
西區分館,西區,120.671,24.154,400
清水分館,清水區,120.574,24.27,80
總館,北屯區,120.704,24.2,80
東勢分館,東勢區,120.82,24.263,16
新社分館,新社區,120.81,24.245,10
大甲分館,大甲區,120.636,24.356,15
大肚瑞井分館,大肚區,120.587,24.162,300
大里分館,大里區,120.711,24.092,15
大墩分館,西區,120.679,24.143,15
北屯分館,北屯區,120.717,24.177,300
烏日分館,烏日區,120.651,24.114,15
精武圖書館,北區,120.709,24.15,15
興安分館,北屯區,120.71,24.174,15
龍井分館(工程中),龍井區,120.562,24.197,15
北區分館,北區,120.704,24.162,10
捷運松竹借還書站,北屯區,120.731,24.186,10
太平坪林分館,太平區,120.747,24.148,80
李科永紀念圖書館,南屯區,120.638,24.154,200
南屯分館,南屯區,120.656,24.154,80
梧棲分館,梧棲區,120.55,24.258,80
溪西分館,西屯區,120.639,24.177,80
潭子分館,潭子區,120.714,24.218,80
沙鹿深波分館,沙鹿區,120.578,24.238,200
太平分館,太平區,120.736,24.124,200
西屯分館,西屯區,120.668,24.178,80
梧棲親子館,梧棲區,120.55,24.256,80
龍井龍津分館,龍井區,120.537,24.204,80
石岡分館,石岡區,120.783,24.275,80
霧峰以文分館,霧峰區,120.724,24.066,400
葫蘆墩分館,豐原區,120.762,24.256,80
大雅分館,大雅區,120.666,24.224,400
外埔分館,外埔區,120.672,24.336,80
豐原南嵩分館,豐原區,120.76,24.259,80
東區分館,東區,120.704,24.135,10
清水紫雲巖圖書館,清水區,120.604,24.275,10
豐原分館,豐原區,120.743,24.247,16
大里德芳分館,大里區,120.703,24.11,200
南區分館,南區,120.688,24.126,6
龍井山頂分館,龍井區,120.59,24.186,6
