name,townName,longitude,latitude,borrowCount
上楓分館,大雅區,120.676,24.242,14
中區分館,中區,120.7,24.147,13
北區分館,北區,120.704,24.162,30
北屯分館,北屯區,120.717,24.177,32
南區分館,南區,120.688,24.126,27
南屯分館,南屯區,120.656,24.154,43
后里分館,后里區,120.742,24.311,19
和平區圖書館,和平區,120.83,24.181,9
國立公共資訊圖書館,南區,120.671,24.127,15
國立公共資訊圖書館黎明分館,南屯區,120.632,24.153,26
外埔分館,外埔區,120.672,24.336,17
大墩分館,西區,120.679,24.143,33
大安分館,大安區,120.603,24.351,15
大甲分館,大甲區,120.636,24.356,42
大肚分館,大肚區,120.553,24.157,9
大肚瑞井分館,大肚區,120.587,24.162,22
大里分館,大里區,120.711,24.092,46
大里大新分館,大里區,120.704,24.103,22
大里德芳分館,大里區,120.703,24.11,24
大雅分館,大雅區,120.666,24.224,37
太平分館,太平區,120.736,24.124,61
太平坪林分館,太平區,120.747,24.148,25
捷運松竹借還書站,北屯區,120.731,24.186,17
新社分館,新社區,120.81,24.245,12
李科永紀念圖書館,南屯區,120.638,24.154,18
東勢分館,東勢區,120.82,24.263,15
東區分館,東區,120.704,24.135,30
梧棲分館,梧棲區,120.55,24.258,8
梧棲親子館,梧棲區,120.55,24.256,20
沙鹿文昌分館,沙鹿區,120.59,24.239,14
沙鹿深波分館,沙鹿區,120.578,24.238,33
清水分館,清水區,120.574,24.27,9
清水紫雲巖圖書館,清水區,120.604,24.275,31
溪西分館,西屯區,120.639,24.177,40
潭子分館,潭子區,120.714,24.218,47
烏日分館,烏日區,120.651,24.114,27
石岡分館,石岡區,120.783,24.275,8
神岡分館,神岡區,120.682,24.268,34
精武圖書館,北區,120.709,24.15,24
總館,北屯區,120.704,24.2,27
興安分館,北屯區,120.71,24.174,65
葫蘆墩分館,豐原區,120.762,24.256,29
西區分館,西區,120.671,24.154,25
西屯分館,西屯區,120.668,24.178,66
豐原分館,豐原區,120.743,24.247,11
豐原南嵩分館,豐原區,120.76,24.259,46
霧峰以文分館,霧峰區,120.724,24.066,26
龍井分館(工程中),龍井區,120.562,24.197,5
龍井山頂分館,龍井區,120.59,24.186,8
龍井龍津分館,龍井區,120.537,24.204,24
